snapshot_date,asset_type,asset_name,quantity,price_per_unit,total_value,cost_basis,unrealized_gain_loss
2020-01-01,Stock,AAPL,28,77,2156,6000,-3844
2020-01-01,Stock,NVDA,60,59,3540,8000,-4460
2020-01-01,Stock,TSLA,21,29,609,14500,-13891
2020-02-01,Stock,AAPL,28,68,1904,6000,-4096
2020-02-01,Stock,NVDA,60,54,3240,8000,-4760
2020-02-01,Stock,TSLA,21,25,525,14500,-13975
2020-03-01,Stock,AAPL,28,64,1792,6000,-4208
2020-03-01,Stock,NVDA,60,50,3000,8000,-5000
2020-03-01,Stock,TSLA,21,21,441,14500,-14059
2020-04-01,Stock,AAPL,28,73,2044,6000,-3956
2020-04-01,Stock,NVDA,60,57,3420,8000,-4580
2020-04-01,Stock,TSLA,21,28,588,14500,-13912
2020-05-01,Stock,AAPL,28,79,2212,6000,-3788
2020-05-01,Stock,NVDA,60,61,3660,8000,-4340
2020-05-01,Stock,TSLA,21,32,672,14500,-13828
2020-06-01,Stock,AAPL,28,91,2548,6000,-3452
2020-06-01,Stock,NVDA,60,73,4380,8000,-3620
2020-06-01,Stock,TSLA,21,40,840,14500,-13660
2020-07-01,Stock,AAPL,28,97,2716,6000,-3284
2020-07-01,Stock,NVDA,60,81,4860,8000,-3140
2020-07-01,Stock,TSLA,21,58,1218,14500,-13282
2020-08-01,Stock,AAPL,28,115,3220,6000,-2780
2020-08-01,Stock,NVDA,60,112,6720,8000,-1280
2020-08-01,Stock,TSLA,21,90,1890,14500,-12610
2020-09-01,Stock,AAPL,28,108,3024,6000,-2976
2020-09-01,Stock,NVDA,60,133,7980,8000,-20
2020-09-01,Stock,TSLA,21,86,1806,14500,-12694
2020-10-01,Stock,AAPL,28,109,3052,6000,-2948
2020-10-01,Stock,NVDA,60,128,7680,8000,-320
2020-10-01,Stock,TSLA,21,89,1869,14500,-12631
2020-11-01,Stock,AAPL,28,120,3360,6000,-2640
2020-11-01,Stock,NVDA,60,133,7980,8000,-20
2020-11-01,Stock,TSLA,21,116,2436,14500,-12064
2020-12-01,Stock,AAPL,28,132,3696,6000,-2304
2020-12-01,Stock,NVDA,60,123,7380,8000,-620
2020-12-01,Stock,TSLA,21,140,2940,14500,-11560
2021-01-01,Stock,AAPL,28,133,3724,6000,-2276
2021-01-01,Stock,NVDA,60,131,7860,8000,-140
2021-01-01,Stock,TSLA,21,172,3612,14500,-10888
2021-02-01,Stock,AAPL,28,121,3388,6000,-2612
2021-02-01,Stock,NVDA,60,135,8100,8000,100
2021-02-01,Stock,TSLA,21,155,3255,14500,-11245
2021-03-01,Stock,AAPL,28,122,3416,6000,-2584
2021-03-01,Stock,NVDA,60,133,7980,8000,-20
2021-03-01,Stock,TSLA,21,168,3528,14500,-10972
2021-04-01,Stock,AAPL,28,131,3668,6000,-2332
2021-04-01,Stock,NVDA,60,148,8880,8000,880
2021-04-01,Stock,TSLA,21,178,3738,14500,-10762
2021-05-01,Stock,AAPL,28,125,3500,6000,-2500
2021-05-01,Stock,NVDA,60,152,9120,8000,1120
2021-05-01,Stock,TSLA,21,152,3192,14500,-11308
2021-06-01,Stock,AAPL,28,136,3808,6000,-2192
2021-06-01,Stock,NVDA,60,193,11580,8000,3580
2021-06-01,Stock,TSLA,21,169,3549,14500,-10951
2021-07-01,Stock,AAPL,28,145,4060,6000,-1940
2021-07-01,Stock,NVDA,60,195,11700,8000,3700
2021-07-01,Stock,TSLA,21,179,3759,14500,-10741
2021-08-01,Stock,AAPL,28,149,4172,6000,-1828
2021-08-01,Stock,NVDA,60,220,13200,8000,5200
2021-08-01,Stock,TSLA,21,180,3780,14500,-10720
2021-09-01,Stock,AAPL,28,142,3976,6000,-2024
2021-09-01,Stock,NVDA,60,221,13260,8000,5260
2021-09-01,Stock,TSLA,21,198,4158,14500,-10342
2021-10-01,Stock,AAPL,28,149,4172,6000,-1828
2021-10-01,Stock,NVDA,60,252,15120,8000,7120
2021-10-01,Stock,TSLA,21,266,5586,14500,-8914
2021-11-01,Stock,AAPL,28,165,4620,6000,-1380
2021-11-01,Stock,NVDA,60,323,19380,8000,11380
2021-11-01,Stock,TSLA,21,348,7308,14500,-7192
2021-12-01,Stock,AAPL,28,177,4956,6000,-1044
2021-12-01,Stock,NVDA,60,302,18120,8000,10120
2021-12-01,Stock,TSLA,21,338,7098,14500,-7402
2022-01-01,Stock,AAPL,28,170,4760,6000,-1240
2022-01-01,Stock,NVDA,60,244,14640,8000,6640
2022-01-01,Stock,TSLA,21,300,6300,14500,-8200
2022-02-01,Stock,AAPL,28,165,4620,6000,-1380
2022-02-01,Stock,NVDA,60,234,14040,8000,6040
2022-02-01,Stock,TSLA,21,279,5859,14500,-8641
2022-03-01,Stock,AAPL,28,174,4872,6000,-1128
2022-03-01,Stock,NVDA,60,272,16320,8000,8320
2022-03-01,Stock,TSLA,21,330,6930,14500,-7570
2022-04-01,Stock,AAPL,28,163,4564,6000,-1436
2022-04-01,Stock,NVDA,60,210,12600,8000,4600
2022-04-01,Stock,TSLA,21,306,6426,14500,-8074
2022-05-01,Stock,AAPL,28,148,4144,6000,-1856
2022-05-01,Stock,NVDA,60,179,10740,8000,2740
