snapshot_date,asset_type,asset_name,quantity,price_per_unit,total_value,cost_basis,unrealized_gain_loss
2025-09-01,Real Estate,Condo,1,872680,872680,895000,-22320
2025-09-01,Real Estate,Storage Unit,1,15000,15000,15000,0
2025-10-01,Real Estate,Condo,1,848083,848083,895000,-46917
2025-10-01,Real Estate,Storage Unit,1,15000,15000,15000,0
2025-11-01,Real Estate,Condo,1,876142,876142,895000,-18858
2025-11-01,Real Estate,Storage Unit,1,15000,15000,15000,0
2025-12-01,Real Estate,Condo,1,852618,852618,895000,-42382
2025-12-01,Real Estate,Storage Unit,1,15000,15000,15000,0
2026-01-01,Real Estate,Condo,1,1033815,1033815,895000,138815
2026-01-01,Real Estate,Storage Unit,1,15000,15000,15000,0
2026-02-01,Real Estate,Condo,1,1155876,1155876,895000,260876
2026-02-01,Real Estate,Storage Unit,1,15000,15000,15000,0
2026-03-01,Real Estate,Condo,1,1103971,1103971,895000,208971
2026-03-01,Real Estate,Storage Unit,1,15000,15000,15000,0
2026-04-01,Real Estate,Condo,1,978658,978658,895000,83658
2026-04-01,Real Estate,Storage Unit,1,15000,15000,15000,0
2026-05-01,Real Estate,Condo,1,952156,952156,895000,57156
2026-05-01,Real Estate,Storage Unit,1,15000,15000,15000,0
2026-06-01,Real Estate,Condo,1,1111700,1111700,895000,216700
2026-06-01,Real Estate,Storage Unit,1,15000,15000,15000,0
2026-07-01,Real Estate,Condo,1,1163100,1163100,895000,268100
2026-07-01,Real Estate,Storage Unit,1,15000,15000,15000,0
2026-08-01,Real Estate,Condo,1,1353143,1353143,895000,458143
2026-08-01,Real Estate,Storage Unit,1,15000,15000,15000,0
2026-09-01,Real Estate,Condo,1,1242410,1242410,895000,347410
2026-09-01,Real Estate,Storage Unit,1,15000,15000,15000,0
