snapshot_date,home_value,home_equity,mortgage_balance,notes
2025-09-01,872680,404771,467909,
2025-10-01,848083,380604,467479,
2025-11-01,876142,409094,467048,
2025-12-01,852618,386004,466614,
2026-01-01,1033815,567637,466178,
2026-02-01,1155876,690137,465739,
2026-03-01,1103971,638673,465298,
2026-04-01,978658,513803,464855,
2026-05-01,952156,487747,464409,
2026-06-01,1111700,647739,463961,
2026-07-01,1163100,699589,463511,
2026-08-01,1353143,890085,463058,
2026-09-01,1242410,779808,462602,Current
