snapshot_date,asset_type,asset_name,quantity,price_per_unit,total_value,cost_basis,unrealized_gain_loss
2025-08-01,Crypto,Bitcoin,0.01148097,56000,642.93,3500,-2857.07
2025-08-01,Stock,AAPL,28,215,6020,6000,20
2025-08-01,Stock,NVDA,60,120,7200,8000,-800
2025-08-01,Stock,TSLA,21,235,4935,14500,-9565
2025-09-01,Crypto,Bitcoin,0.01148097,58000,665.9,3500,-2834.1
2025-09-01,Stock,AAPL,28,220,6160,6000,160
2025-09-01,Stock,NVDA,60,125,7500,8000,-500
2025-09-01,Stock,TSLA,21,240,5040,14500,-9460
2025-10-01,Crypto,Bitcoin,0.01148097,62000,711.82,3500,-2788.18
2025-10-01,Stock,AAPL,28,225,6300,6000,300
2025-10-01,Stock,NVDA,60,130,7800,8000,-200
2025-10-01,Stock,TSLA,21,250,5250,14500,-9250
2025-11-01,Crypto,Bitcoin,0.01148097,68000,780.71,3500,-2719.29
2025-11-01,Stock,AAPL,28,230,6440,6000,440
2025-11-01,Stock,NVDA,60,135,8100,8000,100
2025-11-01,Stock,TSLA,21,260,5460,14500,-9040
2025-12-01,Crypto,Bitcoin,0.01148097,72000,826.63,3500,-2673.37
2025-12-01,Stock,AAPL,28,235,6580,6000,580
2025-12-01,Stock,NVDA,60,140,8400,8000,400
2025-12-01,Stock,TSLA,21,270,5670,14500,-8830
2026-01-01,Crypto,Bitcoin,0.01148097,75000,861.07,3500,-2638.93
2026-01-01,Stock,AAPL,28,240,6720,6000,720
2026-01-01,Stock,NVDA,60,145,8700,8000,700
2026-01-01,Stock,TSLA,21,280,5880,14500,-8620
2026-02-01,Crypto,Bitcoin,0.01148097,78000,895.52,3500,-2604.48
2026-02-01,Stock,AAPL,28,245,6860,6000,860
2026-02-01,Stock,NVDA,60,150,9000,8000,1000
2026-02-01,Stock,TSLA,21,290,6090,14500,-8410
2026-03-01,Crypto,Bitcoin,0.01148097,80000,918.48,3500,-2581.52
2026-03-01,Stock,AAPL,28,250,7000,6000,1000
2026-03-01,Stock,NVDA,60,155,9300,8000,1300
2026-03-01,Stock,TSLA,21,300,6300,14500,-8200
2026-04-01,Crypto,Bitcoin,0.06116791,78232,4785.29,3500,1285.29
2026-04-01,Stock,AAPL,28,255,7140,6000,1140
2026-04-01,Stock,NVDA,60,160,9600,8000,1600
2026-04-01,Stock,TSLA,21,310,6510,14500,-7990
2026-05-01,Crypto,Bitcoin,0.06116791,76000,4648.76,3500,1148.76
2026-05-01,Stock,AAPL,28,260,7280,6000,1280
2026-05-01,Stock,NVDA,60,165,9900,8000,1900
2026-05-01,Stock,TSLA,21,320,6720,14500,-7780
2026-06-01,Crypto,Bitcoin,0.06116791,74000,4526.43,3500,1026.43
2026-06-01,Stock,AAPL,28,265,7420,6000,1420
2026-06-01,Stock,NVDA,60,170,10200,8000,2200
2026-06-01,Stock,TSLA,21,330,6930,14500,-7570
2026-07-01,Crypto,Bitcoin,0.06116791,75000,4587.59,3500,1087.59
2026-07-01,Stock,AAPL,28,270,7560,6000,1560
2026-07-01,Stock,NVDA,60,175,10500,8000,2500
2026-07-01,Stock,TSLA,21,340,7140,14500,-7360
2026-08-01,Crypto,Bitcoin,0.06116791,76000,4648.76,3500,1148.76
2026-08-01,Stock,AAPL,28,275,7700,6000,1700
2026-08-01,Stock,NVDA,60,180,10800,8000,2800
2026-08-01,Stock,TSLA,21,350,7350,14500,-7150
2026-09-01,Crypto,Bitcoin,0.06116791,77095,4715.74,3500,1215.74
2026-09-01,Stock,AAPL,28,332,9296,6000,3296
2026-09-01,Stock,NVDA,60,218,13080,8000,5080
2026-09-01,Stock,TSLA,21,365,7665,14500,-6835
